platform,product_id,review_id,rating,comment,username,date,source_url,collected_at
tiki,227746564,19964198,5,"Hàng chống va đập tốt, mỏng, ôm máy. Rất dễ dán nhờ các phụ kiện gửi kèm đầy đủ, tỉ mỉ và công phu. Tự dán rất đẹp không thua ngoài tiệm chuyên nghiệp. Giao hàng rất nhanh ! Đánh giá shop 5*!",Đinh văn Hương,2024-08-26T16:06:24,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,20173710,1,"Hèn gì viền đen nó che mất cái màn hình, chán thật sự.",Đinh Ngọc Cơ,2025-09-23T21:00:04,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,20132171,5,"Hướng dẫn chi tiết, dễ dán.    Dù hơi phải tăng sáng cho màn hình, nhưng hiệu quả hạn chế tầm nhìn rộng ổn. Cài lại FaceID sau khi dán màn hình thì vẫn sẽ nhận diện tốt.",Tường Vy,2025-06-06T10:17:25,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,20190923,5,Sp dễ dán nhưng về phần chống va đập thì phải xài thêm thời gian mới biết nói chung thì khá ok,Tô Minh Nhật,2025-11-15T20:45:13,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,20194410,5,"Hàng xịn, có khung dễ dán lắm mà giá lại rẻ nữa.",Minh Hoang Thi,2025-11-30T15:34:54,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,20222797,5,Tiki luôn tỉ mỉ dù là đơn hàng giá trị không cao  Trân trọng,Bảo Anh,2026-03-29T15:40:04,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,19718676,5,"Ban đầu dán mình quên để ý chữ “Top” là hướng bên trên chỗ camera nên dán bị ngược. Tháo ra dán lại vẫn dính chặt ngon lành. Khuôn dán rất xịn và chắc chắn, đầy đủ dụng cụ. Chống nhìn trộm hiệu quả. Rất recommend mọi ng mua dùng nhé. Cảm ơn shop nhiều ạ",Từ Viên,2024-01-09T21:31:34,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,19847199,5,"Hàng gửi đóng gói cẩn thận, dễ sử dụng đúng như hướng dẫn. Dán xong rất ưng ý với sản phẩm này, còn về độ bền sau khi sử dụng một thời gian mới đánh giá tiếp",Xuân Thanh,2024-04-18T20:07:46,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,20143687,5,"Nhận hàng shop đóng gói cẩn thận, hiện tại chưa sử dụng không biết đúng chất lượng không, nhưng giao hàng đúng thời gian tạm thời cho 5 sao.",Trương Luân,2025-07-07T08:52:50,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,20188481,1,"Mô tả hàng chính hãng nhưng dán mấy lần ko dính,bên trong bụi ,hộp bụi bẩn ,giá cao nhưng ko bằng cả dán vỉa hè.",Ben Bự,2025-11-07T19:44:34,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
