platform,product_id,review_id,rating,comment,username,date,source_url,collected_at
tiki,99958075,20186950,5,"Quần mặc rộng rãi thoáng mát, đường chỉ may chắc chắn chuyên nghiệp.  Tôi mua luôn 5 chiếc để mặc dần.",Lê Văn Tân,2025-11-01T21:49:46,﻿https://tiki.vn/qua-n-du-i-short-gio-nam-the-thao-basic-tre-trung-nang-do-ng-thoa-ng-ma-t-co-gia-n-4-chie-u-mrm-manlywear-p99958075.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.299618_Y.1881938_Z.3985450_CN.07%2F9---Q%C4%90N---Auto&itm_medium=CPC&itm_source=tiki-ads&spid=99958305,2026-04-13T11:45:16
tiki,99958075,19703095,3,"Sản phẩm bình thường, đáy quần hơi ngắn. So với giá thì cao mà chất lượng thì ko bằng của chính hãng 5S actuve. Tiki nên ktra shop bán quần 5S active, treo hàng 5S mà bán hàng nhái.",thanh si,2023-12-30T12:23:55,﻿https://tiki.vn/qua-n-du-i-short-gio-nam-the-thao-basic-tre-trung-nang-do-ng-thoa-ng-ma-t-co-gia-n-4-chie-u-mrm-manlywear-p99958075.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.299618_Y.1881938_Z.3985450_CN.07%2F9---Q%C4%90N---Auto&itm_medium=CPC&itm_source=tiki-ads&spid=99958305,2026-04-13T11:45:16
tiki,99958075,18581298,5,Đã mua Sp của shop nên an tâm về chất lượng.  Tiki giao hàng nhanh. OK,Thành Chương,2023-01-06T11:38:21,﻿https://tiki.vn/qua-n-du-i-short-gio-nam-the-thao-basic-tre-trung-nang-do-ng-thoa-ng-ma-t-co-gia-n-4-chie-u-mrm-manlywear-p99958075.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.299618_Y.1881938_Z.3985450_CN.07%2F9---Q%C4%90N---Auto&itm_medium=CPC&itm_source=tiki-ads&spid=99958305,2026-04-13T11:45:16
tiki,99958075,20125160,5,"Ok hàng tốt, mặc mát, dễ giặt,👍👍👍👍👍👍👍👍",Lê Nhật Minh,2025-05-18T15:43:15,﻿https://tiki.vn/qua-n-du-i-short-gio-nam-the-thao-basic-tre-trung-nang-do-ng-thoa-ng-ma-t-co-gia-n-4-chie-u-mrm-manlywear-p99958075.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.299618_Y.1881938_Z.3985450_CN.07%2F9---Q%C4%90N---Auto&itm_medium=CPC&itm_source=tiki-ads&spid=99958305,2026-04-13T11:45:16
tiki,99958075,10269884,5,"Rất thích quần này, thấy rất tiện, có khóa kéo rất tiện lợi nếu để bóp khóa khi tập thể dục không lo rơi đồ. Shop tư vấn rất nhiệt tình, còn hướng dẫn cách bảo quản đồ khi giặt, rất hài lòng về sản phẩm cũng như Dvu. của hãng. Tksss!",Nguyễn Trần Minh Tuấn,2021-06-08T21:03:07,﻿https://tiki.vn/qua-n-du-i-short-gio-nam-the-thao-basic-tre-trung-nang-do-ng-thoa-ng-ma-t-co-gia-n-4-chie-u-mrm-manlywear-p99958075.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.299618_Y.1881938_Z.3985450_CN.07%2F9---Q%C4%90N---Auto&itm_medium=CPC&itm_source=tiki-ads&spid=99958305,2026-04-13T11:45:16
tiki,99958075,20003643,5,Xịn và chắc chắn nhưng mặt thể dục thì ok hơn chứ dạo phố thì ko họp gu lắm,trandai vinh,2024-10-12T11:42:29,﻿https://tiki.vn/qua-n-du-i-short-gio-nam-the-thao-basic-tre-trung-nang-do-ng-thoa-ng-ma-t-co-gia-n-4-chie-u-mrm-manlywear-p99958075.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.299618_Y.1881938_Z.3985450_CN.07%2F9---Q%C4%90N---Auto&itm_medium=CPC&itm_source=tiki-ads&spid=99958305,2026-04-13T11:45:16
tiki,99958075,11344968,5,"Hàng xịn sò luôn. Giá tiền thì hợp lý thế này cơ mà, tiếc gì ko mua dăm ba cái mặc dần cả nhà. Tiki thì khi nào cũng tuyệt vời, mặc dù giao hàng chậm hơn so với dự kiến 1 ngày nhưng cái này là do yếu tố khách quan dịch bệnh.",Tran Hai,2021-07-21T12:39:11,﻿https://tiki.vn/qua-n-du-i-short-gio-nam-the-thao-basic-tre-trung-nang-do-ng-thoa-ng-ma-t-co-gia-n-4-chie-u-mrm-manlywear-p99958075.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.299618_Y.1881938_Z.3985450_CN.07%2F9---Q%C4%90N---Auto&itm_medium=CPC&itm_source=tiki-ads&spid=99958305,2026-04-13T11:45:16
tiki,99958075,19898191,5,Hàng đẹp lắm shop. Mua cho bố mặc luôn. hộp đẹp màu sáng,Loan Tran,2024-06-10T16:53:18,﻿https://tiki.vn/qua-n-du-i-short-gio-nam-the-thao-basic-tre-trung-nang-do-ng-thoa-ng-ma-t-co-gia-n-4-chie-u-mrm-manlywear-p99958075.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.299618_Y.1881938_Z.3985450_CN.07%2F9---Q%C4%90N---Auto&itm_medium=CPC&itm_source=tiki-ads&spid=99958305,2026-04-13T11:45:16
tiki,99958075,19971213,5,"Anh nhà mình mê lắm nhe, mua liền tù tì 2 cái, tiki giao nhanh khỏi bàn :)",Mi Pham,2024-09-04T22:16:33,﻿https://tiki.vn/qua-n-du-i-short-gio-nam-the-thao-basic-tre-trung-nang-do-ng-thoa-ng-ma-t-co-gia-n-4-chie-u-mrm-manlywear-p99958075.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.299618_Y.1881938_Z.3985450_CN.07%2F9---Q%C4%90N---Auto&itm_medium=CPC&itm_source=tiki-ads&spid=99958305,2026-04-13T11:45:16
tiki,99958075,20133095,5,đẹp ạ,Huỳnh Ngọc Lý,2025-06-08T11:58:51,﻿https://tiki.vn/qua-n-du-i-short-gio-nam-the-thao-basic-tre-trung-nang-do-ng-thoa-ng-ma-t-co-gia-n-4-chie-u-mrm-manlywear-p99958075.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.299618_Y.1881938_Z.3985450_CN.07%2F9---Q%C4%90N---Auto&itm_medium=CPC&itm_source=tiki-ads&spid=99958305,2026-04-13T11:45:16
