platform,product_id,review_id,rating,comment,username,date,source_url,collected_at
tiki,227746564,20173710,1,"Hèn gì viền đen nó che mất cái màn hình, chán thật sự.",Đinh Ngọc Cơ,2025-09-23T21:00:04,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,20188481,1,"Mô tả hàng chính hãng nhưng dán mấy lần ko dính,bên trong bụi ,hộp bụi bẩn ,giá cao nhưng ko bằng cả dán vỉa hè.",Ben Bự,2025-11-07T19:44:34,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,19907503,1,"Giao sai hàng cho khách mình order 11 mà giao 11 promax. K để ý tháo ra đến lúc dán vô thì ms thấy dôi ra 1 khúc, quá bực. Mất tiền *** nhưng sẽ k bao giờ order ở đây nữa -_-",Hồ Thị Bích Trâm,2024-06-21T12:52:30,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,19928370,1,"Giao sai sản phẩm , nhưng lỡ bóc ra nên đành chịu . Đơn hàng không đáng bao nhiêu tiền , nhưng shop làm ăn *** , không đáng tin . Mọi người đừng mua đồ ở shop này nhé",Tuyết Anh,2024-07-16T03:48:17,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,20062022,1,Không chuyên nghiệp. H  Giao trễ hen    Không pản hồi lại cho khách hang.   Không tôn trọng khách hang,Nga Muaxuan,2025-01-07T14:37:58,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,19925745,1,"Nhờ tiki và đơn vị bán đổi lại cái khác, mở ra thấy bị cấn bể 1 bên kính, dán lên mới thấy cấn bể",Trương Tiên,2024-07-12T18:01:46,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,19734807,1,Tôi mua lọi chống nhìn trộm mà đưa loại trong. Dán vào mới biết.,Trần Thịnh,2024-01-19T14:36:42,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,20135999,1,Sản phẩm không giống như tôi đã đặt,Apple User,2025-06-15T14:26:19,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,19629517,3,"Dán thì đẹp, nhưng bị bít cái loa trên màn hình, nghe gọi nói chuyện rất nhỏ, bên đầu dây kia nói và nghe đều ko nghe rõ, khi chạy xe là hoàn toàn ko nghe đc rất nhỏ",Ngô Mai Trúc Phương,2023-11-05T07:10:54,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
tiki,227746564,20033838,1,"Sản phẩm bị mẻ nhỏ bên trong, dán xong mới thấy mẻ. Tiki giao hàng bị hư",Tai Dang,2024-11-19T16:54:26,﻿https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.274010_Y.1856330_Z.3861500_CN.Kinh-cuong-luc&itm_medium=CPC&itm_source=tiki-ads&spid=271829321,2026-04-13T11:00:35
