platform,product_id,rating,comment,Quality,Price,Delivery,Service,cleaned_comment
tiki,99958075,5,"Quần mặc rộng rãi thoáng mát, đường chỉ may chắc chắn chuyên nghiệp.  Tôi mua luôn 5 chiếc để mặc dần.",2,-1,-1,-1,"quần mặc rộng_rãi thoáng mát , đường chỉ may chắc_chắn chuyên_nghiệp . tôi mua luôn 5 chiếc để mặc dần ."
tiki,99958075,5,Đã mua Sp của shop nên an tâm về chất lượng.  Tiki giao hàng nhanh. OK,2,-1,2,-1,đã mua sản_phẩm của cửa_hàng nên an_tâm về chất_lượng . tiki giao hàng hàng nhanh . tốt
tiki,99958075,5,"Ok hàng tốt, mặc mát, dễ giặt,👍👍👍👍👍👍👍👍",2,-1,-1,-1,"tốt hàng tốt , mặc mát , dễ giặt ,"
tiki,99958075,5,"Rất thích quần này, thấy rất tiện, có khóa kéo rất tiện lợi nếu để bóp khóa khi tập thể dục không lo rơi đồ. Shop tư vấn rất nhiệt tình, còn hướng dẫn cách bảo quản đồ khi giặt, rất hài lòng về sản phẩm cũng như Dvu. của hãng. Tksss!",1,-1,-1,-1,"râ tôi thi ch quâ n na y , thâ y râ tôi tiê n , co kho a ke o râ tôi tiê n lơ i nê u đê bo p kho a khi tâ p thê du c không lo rơi đô . cửa_hàng tư vâ n râ tôi nhiê tôi ti nh , co n hươ ng dâ n ca ch ba o qua n đô khi giă tôi , râ tôi ha i lo ng vê sa n phâ mình cu ng như dvu . cu a_ha ng . tksss !"
tiki,99958075,5,Xịn và chắc chắn nhưng mặt thể dục thì ok hơn chứ dạo phố thì ko họp gu lắm,2,-1,-1,-1,xịn và chắc_chắn nhưng mặt thể_dục thì tốt hơn chứ dạo phố thì không họp gu lắm
tiki,99958075,5,"Hàng xịn sò luôn. Giá tiền thì hợp lý thế này cơ mà, tiếc gì ko mua dăm ba cái mặc dần cả nhà. Tiki thì khi nào cũng tuyệt vời, mặc dù giao hàng chậm hơn so với dự kiến 1 ngày nhưng cái này là do yếu tố khách quan dịch bệnh.",2,2,0,-1,"hàng xịn sò luôn . giá tiền thì hợp_lý thế này cơ_mà , tiếc gì không mua dăm_ba cái mặc dần cả nhà . tiki thì khi nào cũng tuyệt_vời , mặc_dù giao hàng hàng chậm hơn so với dự_kiến 1 ngày nhưng cái này là do yếu_tố khách_quan dịch_bệnh ."
tiki,99958075,5,Hàng đẹp lắm shop. Mua cho bố mặc luôn. hộp đẹp màu sáng,2,-1,-1,-1,hàng đẹp lắm cửa_hàng . mua cho bố mặc luôn . hộp đẹp màu sáng
tiki,99958075,5,"Anh nhà mình mê lắm nhe, mua liền tù tì 2 cái, tiki giao nhanh khỏi bàn :)",1,-1,2,-1,"anh nhà mình mê lắm nhe , mua liền tù_tì 2 cái , tiki giao hàng nhanh khỏi bàn"
tiki,99958075,5,đẹp ạ,2,-1,-1,-1,đẹp ạ
tiki,99958075,5,"Chạy Marathon là đam mê, và lựa chọn những sản phẩm tốt, chất lượng rất quan trọng. Lần đầu mua thử sản phẩm của brand này thấy chất lượng ổn, co giản thoải mái tạo cảm giác yên tâm khi chạy. Chất lượng tốt mà giá thật sự rẻ cạnh tranh so với các brand lớn, Brand hàng việt nam đánh giá 5* để hi vọng shop ra thêm các mẫu khác.",2,-1,-1,-1,"cha y marathon la đam_mê , va lư a cho n như ng sa n phâ mình tô tôi , châ tôi lươ ng râ tôi quan tro ng . lâ n đâ u mua thư sa n phâ mình cu a brand na y thâ y châ tôi lươ ng ô n , co gia n thoa i ma i ta o ca mình gia c yên_tâm khi cha y . châ tôi lươ ng tô tôi ma_gia thâ tôi sư re ca nh tranh so vơ i ca c brand lơ n , brand ha ng viê tôi nam đa nh gia 5 đê hi vo ng cửa_hàng ra thêm ca c mâ u kha c ."
tiki,99958075,5,Hàng ok đẹp,2,-1,-1,-1,hàng tốt_đẹp
tiki,99958075,5,"Chất lượng tốt, mặc vừa vặn.",2,-1,-1,-1,"chất_lượng tốt , mặc vừa_vặn ."
