platform,product_id,rating,comment,Quality,Price,Delivery,Service
tiki,99958075,5,"Quần mặc rộng rãi thoáng mát, đường chỉ may chắc chắn chuyên nghiệp.  Tôi mua luôn 5 chiếc để mặc dần.",-1,-1,-1,-1
tiki,99958075,5,Đã mua Sp của shop nên an tâm về chất lượng.  Tiki giao hàng nhanh. OK,-1,-1,-1,-1
tiki,99958075,5,"Ok hàng tốt, mặc mát, dễ giặt,👍👍👍👍👍👍👍👍",-1,-1,-1,-1
tiki,99958075,5,"Rất thích quần này, thấy rất tiện, có khóa kéo rất tiện lợi nếu để bóp khóa khi tập thể dục không lo rơi đồ. Shop tư vấn rất nhiệt tình, còn hướng dẫn cách bảo quản đồ khi giặt, rất hài lòng về sản phẩm cũng như Dvu. của hãng. Tksss!",-1,-1,-1,-1
tiki,99958075,5,Xịn và chắc chắn nhưng mặt thể dục thì ok hơn chứ dạo phố thì ko họp gu lắm,-1,-1,-1,-1
tiki,99958075,5,"Hàng xịn sò luôn. Giá tiền thì hợp lý thế này cơ mà, tiếc gì ko mua dăm ba cái mặc dần cả nhà. Tiki thì khi nào cũng tuyệt vời, mặc dù giao hàng chậm hơn so với dự kiến 1 ngày nhưng cái này là do yếu tố khách quan dịch bệnh.",-1,-1,-1,-1
tiki,99958075,5,Hàng đẹp lắm shop. Mua cho bố mặc luôn. hộp đẹp màu sáng,-1,-1,-1,-1
tiki,99958075,5,"Anh nhà mình mê lắm nhe, mua liền tù tì 2 cái, tiki giao nhanh khỏi bàn :)",-1,-1,-1,-1
tiki,99958075,5,đẹp ạ,-1,-1,-1,-1
tiki,99958075,5,"Chạy Marathon là đam mê, và lựa chọn những sản phẩm tốt, chất lượng rất quan trọng. Lần đầu mua thử sản phẩm của brand này thấy chất lượng ổn, co giản thoải mái tạo cảm giác yên tâm khi chạy. Chất lượng tốt mà giá thật sự rẻ cạnh tranh so với các brand lớn, Brand hàng việt nam đánh giá 5* để hi vọng shop ra thêm các mẫu khác.",-1,-1,-1,-1
tiki,99958075,5,Hàng ok đẹp,-1,-1,-1,-1
tiki,99958075,5,"Chất lượng tốt, mặc vừa vặn.",-1,-1,-1,-1
tiki,99958075,5,"Chất lượng tốt, mặc vừa vặn",-1,-1,-1,-1
tiki,99958075,5,"Quần kiểu dáng basic dể mặc dễ phối đồ, Hàng chính hãng nên cũng rất an tâm,  thông tin logo rõ ràng dễ nhận biết, thích cái logo phản quang bên dưới tạo điểm nhấn cho quần. Nói chung đẹp,giá cũng rất hợp lí",-1,-1,-1,-1
tiki,99958075,4,quần ok tuy nhiên muốn bận thoải mái ở nhà thì +1 size,-1,-1,-1,-1
tiki,99958075,5,"Săn được quần đẹp, giá tốt để chơi thể thao thì bị hạn chế ra ngoài, thôi đành mong dịch qua nhanh vậy. Đợi dịch ổn định sẽ mua thêm vài chiếc để thay đổi. Chất lượng xứng đáng 5*, có điều giao bị trễ hẹn so dự kiến.",-1,-1,-1,-1
tiki,99958075,4,"Giao hàng nhanh  Đúng sản phẩm  Túi quần hơi nông khó để đồ, nên làm sâu hơn",-1,-1,-1,-1
tiki,99958075,5,Chất liệu tốt giao hàng nhanh và đóng gói lịch sự,-1,-1,-1,-1
tiki,99958075,5,"Sản phẩm tốt, giao đúng hẹn",-1,-1,-1,-1
tiki,99958075,5,"Quần thì đẹp, dịch bệnh không đi đâu được nên mặc ở nhà, Quần này hoàn toàn có thể mặc đi chơi, ra ngoài đều ok, mua của shop lần đầu, nhưng mọi thứ đều tuyệt vời từ chất lượng, đến đóng gói, chắc chắn sẽ quay lại trong tương lai, thanks!",-1,-1,-1,-1
tiki,99958075,4,"- đóng gói: mỗi item trong 1 hộp giấy riêng, sang, sạch - sản phẩm: vải mát, mịn. có điều 1 lớp và khá mỏng, nếu muốn mặc ở nhà và không mặc sịp thì không ổn - giao hàng: trễ hơn 1 ngày so với ngày hẹn",-1,-1,-1,-1
tiki,99958075,5,"Nhận hàng ngỡ ngàng luôn, bọc cẩn thận, giao tận tay hộp còn mới tinh. Quần đẹp lắm shop, giao nhanh đóng gói cẩn thận, rất thích mua trên tiki vì san phẩm tốt mà hỗ trợ cũng rất nhanhh. 5* sẽ còn lựa thêm đồ của shop",-1,-1,-1,-1
tiki,99958075,5,siêu xịn xò,-1,-1,-1,-1
tiki,99958075,5,"Giao nhanh, sản phẩm như hình, đường may chắc chắn và kỹ. Mặc thử hy vọng thoáng mát nữa là chuẩn 5 sao.",-1,-1,-1,-1
